role,count,avg_skills,avg_leadership_score,avg_years
Backend Developer,1,3.0,4.0,4.641095890410959
Business Analyst,2,3.0,4.0,3.661643835616438
Data Analyst,2,3.0,3.5,3.9493150684931506
Data Engineer,2,3.0,3.5,3.7753424657534245
Data Scientist,2,3.0,4.5,5.264383561643836
DevOps Engineer,1,3.0,4.5,5.16986301369863
Frontend Developer,3,3.0,3.3333333333333335,2.7579908675799083
HR Business Partner,1,3.0,7.0,6.93972602739726
HR Manager,1,3.0,7.0,8.413698630136986
HR Specialist,1,3.0,6.0,5.03013698630137
Junior Developer,3,3.0,3.3333333333333335,2.346118721461187
Machine Learning Engineer,1,3.0,5.0,5.923287671232877
Operations Analyst,1,3.0,5.0,4.109589041095891
Operations Manager,2,3.0,5.5,7.721917808219178
Operations Specialist,1,3.0,5.0,5.772602739726027
Product Manager,1,3.0,6.5,7.260273972602739
Senior Software Engineer,1,4.0,5.0,5.6
Software Engineer,3,3.0,3.6666666666666665,3.643835616438356
UX Designer,1,3.0,6.0,6.882191780821918
